"PROVIDER_ID","Std_Outcomes_Mortality_score","Outcomes_Mortality_cnt","Std_Outcomes_Safety_score","Outcomes_Safety_cnt","Std_Outcomes_Readmission_score","Outcomes_Readmission_cnt","Std_PatientExp_score","Patient_Experience_cnt","Std_Process_score","Process_cnt","std_weight_Mortality","std_weight_Safety","std_weight_Readmission","std_weight_PatientExperience","std_weight_Process","weight_Outcomes_Mortality","weight_Outcomes_Safety","weight_Outcomes_Readmission","weight_PatientExperience","weight_Process","summary_score","Total_measure_group_cnt","MortSafe_Group_cnt","report_indicator","cnt_grp","star"
"010090",-0.22758187409098,8,0.209487356855304,7,0.465052812052187,9,-0.791137857079674,15,-0.418996660165393,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.125999102917743,5,2,1,"3) # of groups=5",3
"010091",NA,0,NA,0,-0.450152891404016,1,0.634139117408422,5,-1.06643447958697,6,0.22,0.22,0.22,0.22,0.12,NA,NA,0.392857142857143,0.392857142857143,0.214285714285714,-0.156241371124048,2,0,0,"",NA
"010092",-1.11622018718691,7,-0.283596080754768,7,-0.856032726839814,9,-0.425118917026824,15,-0.70136296346206,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.673976496213277,5,2,1,"3) # of groups=5",2
"010095",-0.0887330555420189,1,NA,0,-0.547858044891677,1,NA,0,-0.261346771106215,4,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,-0.306092240407427,1,0,0,"",NA
"010097",-0.612435152279499,2,NA,0,-0.535690728903374,3,NA,0,-0.843499728753751,6,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,-0.631799395197647,2,0,0,"",NA
"010099",-0.427729979287309,3,-0.486049536550282,2,-1.78757596780671,4,-0.657077382624722,15,-0.833041556810773,6,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.838820217396478,4,1,1,"2) # of groups=4",1
"010100",-1.18659123334254,8,-0.707026153799169,7,0.0108111883531372,9,0.220221816550168,15,0.375254902930357,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.320737975740806,5,2,1,"3) # of groups=5",2
"010101",-0.0950405433543845,3,-3.17021422328,2,-2.00636032091568,4,0.306593548894973,15,0.516450262405835,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.03033070701542,4,1,1,"2) # of groups=4",1
"010102",NA,0,NA,0,NA,0,NA,0,-0.656768620407231,3,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,-0.656768620407231,1,0,0,"",NA
"010103",0.239028464662214,8,0.0627529118614084,7,0.570568366420871,9,-0.54290744061576,15,-1.28770080809221,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.0820467904587439,5,2,1,"3) # of groups=5",3
"010104",-0.548455272759229,8,0.454831428879394,8,-0.00695164292407437,11,-0.00761050794528892,15,-0.876823385606196,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.129019725117567,5,2,1,"3) # of groups=5",3
"010108",-0.111845273548057,5,-0.988954281544905,3,-0.0801309457056988,5,0.66554468257727,15,-0.573363782522941,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.182188533911459,5,2,1,"3) # of groups=5",3
"010110",NA,0,NA,0,NA,0,NA,0,1.48376739224647,2,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,1.48376739224647,0,0,0,"",NA
"010112",-0.0836299494613668,3,-1.42975768187162,2,-0.347427343970672,5,-0.50555939779104,15,-0.833629043469361,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.620637847297157,4,1,1,"2) # of groups=4",2
"010113",-0.57680947315009,8,-0.828183194478177,8,-0.597569121344817,11,-0.320058516465486,15,0.327613213842008,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.471662881535444,5,2,1,"3) # of groups=5",2
"010114",0.296150752780767,4,-0.45763755253618,6,0.67439053758762,6,-0.763892050590635,15,-0.31613546829476,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.0931536850022254,5,2,1,"3) # of groups=5",3
"010118",-0.649140846774632,5,0.741235308586773,3,-0.0880026375800086,5,-1.55886650150055,15,-0.113754444921026,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.355700962389575,5,2,1,"3) # of groups=5",2
"010120",-2.87355783397215,3,-0.235447710716891,2,-2.09685479725782,4,0.0881142895368921,5,0.876263494465253,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-1.02075251219436,4,1,1,"2) # of groups=4",1
"010125",-1.09865510696191,4,NA,0,0.670373690108741,4,1.08450223905036,10,0.355751798700193,6,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,0.23981897016334,4,1,1,"2) # of groups=4",3
"010126",-0.506170875265066,3,0.647185137443925,2,-0.0944788577217859,5,1.01468378185926,15,1.13527978191046,6,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.369701794818848,4,1,1,"2) # of groups=4",4
"010128",-0.330993566903058,1,NA,0,1.00460749977392,2,NA,0,-2.94220678261338,4,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,-0.365838836932171,1,0,0,"",NA
"010129",-0.56663561188615,3,-0.0427494171020116,2,-0.166566148355872,7,0.771641422625098,15,-0.878149071452526,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.106326034612469,4,1,1,"2) # of groups=4",3
"010130",0.295406446336974,4,0.320199267373437,1,-0.846908638216977,5,0.553946955312994,10,-0.391467370275923,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0240056023443034,4,1,1,"2) # of groups=4",3
"010131",-0.216309506689338,7,0.336417365666025,8,0.264187195024637,8,-0.705668548276403,15,-0.66640128562306,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.150670323015285,5,2,1,"3) # of groups=5",3
"010138",NA,0,NA,0,NA,0,NA,0,-1.70991918554184,3,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,-1.70991918554184,1,0,0,"",NA
"010139",-0.240521311517143,8,0.496648070788899,7,1.01110482665422,8,-1.46708781720456,15,0.0222833605885518,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.0412943676106623,5,2,1,"3) # of groups=5",3
"010144",-0.504364927306006,8,0.521221553882131,8,-0.936368838455197,9,-0.407436934300204,15,0.153556948294039,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.273501978364156,5,2,1,"3) # of groups=5",3
"010148",-0.212282828433586,4,NA,0,-0.0650100689041939,5,0.809017645395835,10,-1.43796917561071,5,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,-0.0712523801288629,4,1,1,"2) # of groups=4",3
"010149",0.423288085828005,6,-0.329330810101406,7,0.118145824385703,6,0.443815328674106,15,-0.654734688755318,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0657338916823716,5,2,1,"3) # of groups=5",4
"01014F",1.31282823503465,5,0.0595238158735229,4,0.691603044128693,6,-0.970052069467972,10,-0.335420700699522,5,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.200408181541214,5,2,1,"3) # of groups=5",4
"010150",-1.05777510098618,1,0.678035673249115,2,0.128027290492232,2,NA,0,-0.488791067975403,7,0.22,0.22,0.22,0.22,0.12,0.282051282051282,0.282051282051282,0.282051282051282,NA,0.153846153846154,-0.146194356860143,1,0,0,"",NA
"010157",-0.0887330555420189,1,0.154399005817378,2,-0.0691309496604473,2,0.655622443754093,5,-0.867132747769552,6,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0394187080288348,2,0,0,"",NA
"010158",-0.205257831489062,3,0.264627529080248,3,-1.01966448654443,6,1.18241135155791,5,0.356503939254626,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0916461164835816,5,2,1,"3) # of groups=5",4
"010164",-1.27526028011393,4,0.614718610760519,3,-0.534368172887549,8,-0.0326424016779434,15,1.16799166927606,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.129902493349032,5,2,1,"3) # of groups=5",3
"010168",0.880308989902137,1,0.45665392889073,3,0.434686439383275,4,1.19198487423052,15,-0.683811344533244,6,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.569942169785476,4,1,1,"2) # of groups=4",4
"010169",0.203657430437342,3,0.616334601638735,2,-0.938608569546592,3,NA,0,-0.505284024153215,5,0.22,0.22,0.22,0.22,0.12,0.282051282051282,0.282051282051282,0.282051282051282,NA,0.153846153846154,-0.111191950181922,3,1,1,"1) # of groups=3",3
"010173",-0.00224659896473637,2,-1.22232752288608,1,0.341587756960087,3,NA,0,-0.0912502488904313,6,0.22,0.22,0.22,0.22,0.12,0.282051282051282,0.282051282051282,0.282051282051282,NA,0.153846153846154,-0.263085936080528,2,0,0,"",NA
"01019F",1.76265440554926,3,NA,0,1.17900305453664,4,-0.170637149157063,10,-1.11624285638974,4,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,0.609840161073815,4,1,1,"2) # of groups=4",4
"01021F",NA,0,NA,0,NA,0,NA,0,0.30575234975861,1,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,0.30575234975861,0,0,0,"",NA
"011300",NA,0,NA,0,0.204581265476417,1,NA,0,1.42883706874253,2,0.22,0.22,0.22,0.22,0.12,NA,NA,0.647058823529412,NA,0.352941176470588,0.636671548982104,0,0,0,"",NA
"011302",0.638048478541098,1,NA,0,1.08047677915872,2,NA,0,-0.54679363217082,5,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,0.557964858631181,1,0,0,"",NA
"011304",NA,0,NA,0,NA,0,NA,0,1.36373880731778,5,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,1.36373880731778,1,0,0,"",NA
"011305",-0.301126307439879,2,NA,0,-0.79508856806717,3,NA,0,-0.573217796506408,6,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,-0.553488228914857,2,0,0,"",NA
"011306",0.169453153947,2,NA,0,-0.681300282899496,3,NA,0,0.0209167473915132,6,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,-0.196600640504585,2,0,0,"",NA
"011307",NA,0,NA,0,NA,0,NA,0,-1.7517951021977,3,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,-1.7517951021977,1,0,0,"",NA
"020001",-0.262599917645481,8,-0.536794530017643,8,0.0650054989274153,11,0.283341925502952,15,-0.584897557366196,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.16941805199515,5,2,1,"3) # of groups=5",3
"020006",-1.61580641037515,7,0.319787656133334,7,0.226163220735775,10,0.529806222088025,15,-0.312147496840374,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.156268548132808,5,2,1,"3) # of groups=5",3
"020008",1.1600494827964,5,0.18442710036607,2,-0.0300868139187516,8,0.786248491690209,15,-0.195895769569794,8,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.438632925057089,4,1,1,"2) # of groups=4",4
"020012",-2.04642302059864,6,-0.483643142784508,5,0.16187736822982,10,-0.249095277589382,15,-0.433090732638668,10,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.627773383920036,5,2,1,"3) # of groups=5",2
"020017",-0.333319386801939,8,0.00149753733988125,7,-2.82934747226577,9,-0.46796778213783,15,-0.201497449993237,7,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.822589856849633,5,2,1,"3) # of groups=5",1
"020018",0.174270677187653,3,1.15927422234555,1,2.04324505108612,3,-0.626703557339282,10,1.45725557305429,3,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.779889675288124,4,1,1,"2) # of groups=4",5
