PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010120,-3.541989312,-1.550249525,0.7032022721,1.2531107748,0.0268211302,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.686685138,1,2,3,8,8,3,0,0,,
010125,0.8470937167,0.894882305,-0.229723353,,0.4049408554,0.22,0.22,0.22,0.22,0.12,,0.2820512821,0.2820512821,0.2820512821,0.1538461538,0.488831397,3,1,4,0,6,3,1,1,1) # of groups=3,4
010126,-1.544677519,0.0713413066,0.7841634367,-0.638209231,-0.479584081,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.349574131,2,2,4,8,7,3,0,0,,
010128,-0.560965511,-1.095789097,,,-1.825028594,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,-1.041945438,2,0,3,0,4,2,0,0,,
010129,-1.386527903,0.0314787556,0.6627216898,0.6875945983,0.2653245452,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.0307977164,2,2,6,8,8,3,0,0,,
010130,-1.006335391,-1.202205671,-0.242600812,0.8282079172,-0.956001672,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.471765671,4,2,5,8,7,4,1,1,2) # of groups=4,2
010131,-0.288626666,0.5721536074,0.1492181058,-1.089103504,-0.936918553,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.256829087,6,8,8,8,9,5,2,1,3) # of groups=5,2
010138,,,,,0.7257468137,0.22,0.22,0.22,0.22,0.12,,,,,1,0.7257468137,0,0,0,0,4,1,0,0,,
010139,-0.646312543,-1.26215158,0.0126611734,-0.504313764,0.2605217718,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.496763064,7,8,9,8,9,5,2,1,3) # of groups=5,2
010144,-0.091295312,-1.332856834,0.0406158793,-0.158913062,-0.605525333,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.412001892,7,8,9,8,9,5,2,1,3) # of groups=5,2
010148,-1.019129818,0.1355989852,-0.074238012,0.7746253685,-1.858349366,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.263293489,3,1,5,8,6,4,1,1,2) # of groups=4,2
010149,-1.190617612,0.3625838132,-0.049926325,0.010029844,-0.769503498,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.283285081,4,7,6,8,10,5,2,1,3) # of groups=5,2
01014F,1.8138846862,-0.927681425,-1.109577576,0.1523165584,,0.22,0.22,0.22,0.22,0.12,0.25,0.25,0.25,0.25,,-0.017764439,5,4,6,8,0,4,2,1,2) # of groups=4,3
010150,,0.6085304525,0.5412799429,,-0.80094819,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,0.2800794717,0,2,3,0,8,2,0,0,,
010157,,-0.942285329,0.7032022721,,-0.748141435,0.22,0.22,0.22,0.22,0.12,,0.3928571429,,0.3928571429,0.2142857143,-0.254241508,0,2,2,0,5,1,0,0,,
010158,-2.511199471,-0.636317862,0.7841634367,1.121810045,0.3725381314,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.228435072,2,2,6,8,7,3,0,0,,
010164,-0.90196832,-0.709838961,1.2006646,0.0716833491,0.3266731271,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.035480278,3,4,8,8,10,5,2,1,3) # of groups=5,3
010168,,0.884281229,-1.033586694,1.4935077603,-3.205658976,0.22,0.22,0.22,0.22,0.12,0.2820512821,0.2820512821,,0.2820512821,0.1538461538,-0.114044323,0,3,4,8,7,4,1,1,2) # of groups=4,2
