"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
ND,2022,95.73,96.61,N/A (5),N/A (5),0,6,0,0,95.92,99.48,0.12,0.00,0,5,0,2,0,0,0,2,N/A (5)
ND,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.80
NE,2022,93.98,93.96,100.00,100.00,0,19,0,3,96.49,100.00,0.12,0.11,0,17,0,8,0,6,0,3,N/A (5)
NE,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),89.60
NH,2022,96.94,97.91,N/A (5),N/A (5),0,10,0,0,97.68,98.96,0.49,0.47,0,18,0,3,0,2,1,1,N/A (5)
NH,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),94.90
NJ,2022,66.86,84.09,100.00,100.00,0,88,0,15,96.06,100.00,0.42,0.38,0,67,0,61,0,26,0,18,N/A (5)
NJ,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),95.10
NM,2022,98.61,98.00,N/A (5),N/A (5),0,7,0,0,99.90,100.00,0.36,0.42,0,3,0,4,0,2,0,0,N/A (5)
NM,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),91.40
NV,2022,71.39,92.45,100.00,100.00,0,20,0,0,78.62,100.00,0.37,0.48,0,22,0,13,0,1,0,3,N/A (5)
NV,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.70
NY,2022,67.96,80.16,100.00,100.00,2,60,0,8,97.26,100.00,0.52,0.52,0,48,0,27,0,6,0,20,N/A (5)
NY,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.40
OH,2022,82.10,91.00,96.10,97.93,0,73,2,3,98.74,100.00,0.36,0.26,0,40,0,29,0,14,1,4,N/A (5)
