"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
030117,MSPB-1,0.938991,,01/01/2019,12/31/2019
030119,MSPB-1,0.998009,,01/01/2019,12/31/2019
030121,MSPB-1,0.972752,,01/01/2019,12/31/2019
030122,MSPB-1,0.994109,,01/01/2019,12/31/2019
030123,MSPB-1,0.952348,,01/01/2019,12/31/2019
030130,MSPB-1,0.900574,,01/01/2019,12/31/2019
030131,MSPB-1,0.886103,,01/01/2019,12/31/2019
030134,MSPB-1,0.871652,,01/01/2019,12/31/2019
030136,MSPB-1,0.900750,,01/01/2019,12/31/2019
030137,MSPB-1,0.845471,,01/01/2019,12/31/2019
030138,MSPB-1,1.141783,,01/01/2019,12/31/2019
030139,MSPB-1,0.994016,,01/01/2019,12/31/2019
040001,MSPB-1,0.968161,,01/01/2019,12/31/2019
040002,MSPB-1,1.006930,,01/01/2019,12/31/2019
040004,MSPB-1,0.984203,,01/01/2019,12/31/2019
040007,MSPB-1,0.993751,,01/01/2019,12/31/2019
040010,MSPB-1,0.958406,,01/01/2019,12/31/2019
040011,MSPB-1,0.850208,,01/01/2019,12/31/2019
040014,MSPB-1,1.004030,,01/01/2019,12/31/2019
040015,MSPB-1,1.131999,,01/01/2019,12/31/2019
040016,MSPB-1,1.005373,,01/01/2019,12/31/2019
040017,MSPB-1,0.964453,,01/01/2019,12/31/2019
040018,MSPB-1,1.033652,,01/01/2019,12/31/2019
040019,MSPB-1,0.900034,,01/01/2019,12/31/2019
040020,MSPB-1,1.060768,,01/01/2019,12/31/2019
040022,MSPB-1,1.011801,,01/01/2019,12/31/2019
040026,MSPB-1,1.053765,,01/01/2019,12/31/2019
040027,MSPB-1,0.968185,,01/01/2019,12/31/2019
040029,MSPB-1,1.032055,,01/01/2019,12/31/2019
040036,MSPB-1,0.986912,,01/01/2019,12/31/2019
040039,MSPB-1,1.079552,,01/01/2019,12/31/2019
040041,MSPB-1,0.998021,,01/01/2019,12/31/2019
040047,MSPB-1,1.131845,,01/01/2019,12/31/2019
040050,MSPB-1,0.957603,,01/01/2019,12/31/2019
040051,MSPB-1,0.879339,,01/01/2019,12/31/2019
040055,MSPB-1,1.039159,,01/01/2019,12/31/2019
040062,MSPB-1,1.033857,,01/01/2019,12/31/2019
040067,MSPB-1,1.046866,,01/01/2019,12/31/2019
040069,MSPB-1,0.929858,,01/01/2019,12/31/2019
040071,MSPB-1,1.080487,,01/01/2019,12/31/2019
040072,MSPB-1,0.906310,,01/01/2019,12/31/2019
040074,MSPB-1,N/A,1,01/01/2019,12/31/2019
040076,MSPB-1,0.947005,,01/01/2019,12/31/2019
040078,MSPB-1,1.030806,,01/01/2019,12/31/2019
040084,MSPB-1,1.007228,,01/01/2019,12/31/2019
040085,MSPB-1,0.862168,,01/01/2019,12/31/2019
040088,MSPB-1,1.047017,,01/01/2019,12/31/2019
040114,MSPB-1,1.013723,,01/01/2019,12/31/2019
040118,MSPB-1,1.016239,,01/01/2019,12/31/2019
040119,MSPB-1,1.011723,,01/01/2019,12/31/2019
040134,MSPB-1,0.951265,,01/01/2019,12/31/2019
040137,MSPB-1,1.110891,,01/01/2019,12/31/2019
040147,MSPB-1,0.928774,,01/01/2019,12/31/2019
040152,MSPB-1,1.046356,,01/01/2019,12/31/2019
040153,MSPB-1,0.915695,,01/01/2019,12/31/2019
040154,MSPB-1,0.927584,,01/01/2019,12/31/2019
040156,MSPB-1,0.913402,,01/01/2019,12/31/2019
050002,MSPB-1,1.101344,,01/01/2019,12/31/2019
050006,MSPB-1,0.941843,,01/01/2019,12/31/2019
050007,MSPB-1,0.955890,,01/01/2019,12/31/2019
050008,MSPB-1,0.963521,,01/01/2019,12/31/2019
050009,MSPB-1,0.919497,,01/01/2019,12/31/2019
050013,MSPB-1,0.968404,,01/01/2019,12/31/2019
050014,MSPB-1,0.914981,,01/01/2019,12/31/2019
050017,MSPB-1,0.954851,,01/01/2019,12/31/2019
050022,MSPB-1,1.065151,,01/01/2019,12/31/2019
050024,MSPB-1,1.038927,,01/01/2019,12/31/2019
050025,MSPB-1,1.020057,,01/01/2019,12/31/2019
050026,MSPB-1,1.017272,,01/01/2019,12/31/2019
050028,MSPB-1,0.953982,,01/01/2019,12/31/2019
050030,MSPB-1,0.828426,,01/01/2019,12/31/2019
050036,MSPB-1,0.994251,,01/01/2019,12/31/2019
050038,MSPB-1,1.019345,,01/01/2019,12/31/2019
050039,MSPB-1,0.948220,,01/01/2019,12/31/2019
050040,MSPB-1,0.831885,,01/01/2019,12/31/2019
050042,MSPB-1,0.918965,,01/01/2019,12/31/2019
050043,MSPB-1,1.012586,,01/01/2019,12/31/2019
050045,MSPB-1,0.903985,,01/01/2019,12/31/2019
050047,MSPB-1,0.942519,,01/01/2019,12/31/2019
050054,MSPB-1,1.081527,,01/01/2019,12/31/2019
050055,MSPB-1,0.936485,,01/01/2019,12/31/2019
050056,MSPB-1,1.024080,,01/01/2019,12/31/2019
050057,MSPB-1,0.969905,,01/01/2019,12/31/2019
050058,MSPB-1,1.104509,,01/01/2019,12/31/2019
050060,MSPB-1,1.006049,,01/01/2019,12/31/2019
050063,MSPB-1,1.098110,,01/01/2019,12/31/2019
050067,MSPB-1,0.849104,,01/01/2019,12/31/2019
050069,MSPB-1,1.007556,,01/01/2019,12/31/2019
050070,MSPB-1,0.843878,,01/01/2019,12/31/2019
050071,MSPB-1,0.917271,,01/01/2019,12/31/2019
050072,MSPB-1,0.907131,,01/01/2019,12/31/2019
050073,MSPB-1,0.839749,,01/01/2019,12/31/2019
050075,MSPB-1,0.951573,,01/01/2019,12/31/2019
050076,MSPB-1,0.786066,,01/01/2019,12/31/2019
050077,MSPB-1,1.021971,,01/01/2019,12/31/2019
050078,MSPB-1,0.989215,,01/01/2019,12/31/2019
050082,MSPB-1,0.975660,,01/01/2019,12/31/2019
050084,MSPB-1,0.973148,,01/01/2019,12/31/2019
050089,MSPB-1,1.096271,,01/01/2019,12/31/2019
050090,MSPB-1,0.924432,,01/01/2019,12/31/2019
050091,MSPB-1,1.080875,,01/01/2019,12/31/2019
050093,MSPB-1,0.949431,,01/01/2019,12/31/2019
050096,MSPB-1,1.643478,,01/01/2019,12/31/2019
050099,MSPB-1,1.054015,,01/01/2019,12/31/2019
050100,MSPB-1,0.984151,,01/01/2019,12/31/2019
050101,MSPB-1,1.009364,,01/01/2019,12/31/2019
050102,MSPB-1,1.213950,,01/01/2019,12/31/2019
050103,MSPB-1,1.068018,,01/01/2019,12/31/2019
050104,MSPB-1,1.071637,,01/01/2019,12/31/2019
050107,MSPB-1,0.919149,,01/01/2019,12/31/2019
050108,MSPB-1,0.973600,,01/01/2019,12/31/2019
050110,MSPB-1,1.004285,,01/01/2019,12/31/2019
050112,MSPB-1,1.055164,,01/01/2019,12/31/2019
050113,MSPB-1,0.976964,,01/01/2019,12/31/2019
050115,MSPB-1,1.017490,,01/01/2019,12/31/2019
050116,MSPB-1,1.092894,,01/01/2019,12/31/2019
050118,MSPB-1,0.957993,,01/01/2019,12/31/2019
050121,MSPB-1,0.955747,,01/01/2019,12/31/2019
050122,MSPB-1,1.018542,,01/01/2019,12/31/2019
050124,MSPB-1,1.084086,,01/01/2019,12/31/2019
050125,MSPB-1,0.968977,,01/01/2019,12/31/2019
050126,MSPB-1,1.112751,,01/01/2019,12/31/2019
050127,MSPB-1,0.902267,,01/01/2019,12/31/2019
050128,MSPB-1,0.997091,,01/01/2019,12/31/2019
050129,MSPB-1,1.032933,,01/01/2019,12/31/2019
050131,MSPB-1,0.895418,,01/01/2019,12/31/2019
050132,MSPB-1,1.265463,,01/01/2019,12/31/2019
050133,MSPB-1,0.973503,,01/01/2019,12/31/2019
050135,MSPB-1,1.304259,,01/01/2019,12/31/2019
050136,MSPB-1,0.959174,,01/01/2019,12/31/2019
050137,MSPB-1,0.997212,,01/01/2019,12/31/2019
050138,MSPB-1,0.971853,,01/01/2019,12/31/2019
050139,MSPB-1,0.797420,,01/01/2019,12/31/2019
050140,MSPB-1,0.932284,,01/01/2019,12/31/2019
050145,MSPB-1,0.917778,,01/01/2019,12/31/2019
050149,MSPB-1,0.948809,,01/01/2019,12/31/2019
050150,MSPB-1,0.923975,,01/01/2019,12/31/2019
050152,MSPB-1,1.009419,,01/01/2019,12/31/2019
050158,MSPB-1,1.107182,,01/01/2019,12/31/2019
050159,MSPB-1,0.972770,,01/01/2019,12/31/2019
050167,MSPB-1,1.021867,,01/01/2019,12/31/2019
050168,MSPB-1,1.040707,,01/01/2019,12/31/2019
050169,MSPB-1,0.949648,,01/01/2019,12/31/2019
050174,MSPB-1,0.983080,,01/01/2019,12/31/2019
050179,MSPB-1,1.030335,,01/01/2019,12/31/2019
050180,MSPB-1,0.962518,,01/01/2019,12/31/2019
050189,MSPB-1,0.935457,,01/01/2019,12/31/2019
050191,MSPB-1,1.085487,,01/01/2019,12/31/2019
050192,MSPB-1,0.994940,,01/01/2019,12/31/2019
050194,MSPB-1,0.991904,,01/01/2019,12/31/2019
050195,MSPB-1,0.999152,,01/01/2019,12/31/2019
050197,MSPB-1,0.956479,,01/01/2019,12/31/2019
050204,MSPB-1,1.045378,,01/01/2019,12/31/2019
050205,MSPB-1,1.428652,,01/01/2019,12/31/2019
050211,MSPB-1,1.049643,,01/01/2019,12/31/2019
050222,MSPB-1,0.950725,,01/01/2019,12/31/2019
050224,MSPB-1,1.025781,,01/01/2019,12/31/2019
050226,MSPB-1,1.147752,,01/01/2019,12/31/2019
050228,MSPB-1,0.973523,,01/01/2019,12/31/2019
050230,MSPB-1,1.090740,,01/01/2019,12/31/2019
050231,MSPB-1,0.988883,,01/01/2019,12/31/2019
050232,MSPB-1,0.954250,,01/01/2019,12/31/2019
050234,MSPB-1,0.866845,,01/01/2019,12/31/2019
050235,MSPB-1,1.013239,,01/01/2019,12/31/2019
050236,MSPB-1,1.039258,,01/01/2019,12/31/2019
050238,MSPB-1,1.136461,,01/01/2019,12/31/2019
050239,MSPB-1,1.054543,,01/01/2019,12/31/2019
050242,MSPB-1,0.991840,,01/01/2019,12/31/2019
050243,MSPB-1,0.994715,,01/01/2019,12/31/2019
050245,MSPB-1,1.052133,,01/01/2019,12/31/2019
050248,MSPB-1,1.067129,,01/01/2019,12/31/2019
050254,MSPB-1,0.938168,,01/01/2019,12/31/2019
050257,MSPB-1,1.065882,,01/01/2019,12/31/2019
050261,MSPB-1,0.992845,,01/01/2019,12/31/2019
050262,MSPB-1,1.043095,,01/01/2019,12/31/2019
050272,MSPB-1,0.934615,,01/01/2019,12/31/2019
050276,MSPB-1,0.892263,,01/01/2019,12/31/2019
050278,MSPB-1,1.035293,,01/01/2019,12/31/2019
050279,MSPB-1,0.918371,,01/01/2019,12/31/2019
050280,MSPB-1,0.992185,,01/01/2019,12/31/2019
050281,MSPB-1,1.265270,,01/01/2019,12/31/2019
050283,MSPB-1,0.997261,,01/01/2019,12/31/2019
050289,MSPB-1,0.962618,,01/01/2019,12/31/2019
050290,MSPB-1,0.997141,,01/01/2019,12/31/2019
050291,MSPB-1,0.945273,,01/01/2019,12/31/2019
050292,MSPB-1,1.004476,,01/01/2019,12/31/2019
050295,MSPB-1,1.005811,,01/01/2019,12/31/2019
050298,MSPB-1,0.993560,,01/01/2019,12/31/2019
050300,MSPB-1,1.030162,,01/01/2019,12/31/2019
050301,MSPB-1,0.934432,,01/01/2019,12/31/2019
050305,MSPB-1,1.031734,,01/01/2019,12/31/2019
050308,MSPB-1,1.000450,,01/01/2019,12/31/2019
050309,MSPB-1,0.950951,,01/01/2019,12/31/2019
050313,MSPB-1,1.011192,,01/01/2019,12/31/2019
050315,MSPB-1,1.061040,,01/01/2019,12/31/2019
050320,MSPB-1,1.092072,,01/01/2019,12/31/2019
050324,MSPB-1,0.979728,,01/01/2019,12/31/2019
050327,MSPB-1,1.008997,,01/01/2019,12/31/2019
050329,MSPB-1,1.062755,,01/01/2019,12/31/2019
050334,MSPB-1,0.989302,,01/01/2019,12/31/2019
050335,MSPB-1,0.879370,,01/01/2019,12/31/2019
050336,MSPB-1,0.948160,,01/01/2019,12/31/2019
050342,MSPB-1,0.919730,,01/01/2019,12/31/2019
050348,MSPB-1,1.005405,,01/01/2019,12/31/2019
050350,MSPB-1,1.063755,,01/01/2019,12/31/2019
050351,MSPB-1,0.966705,,01/01/2019,12/31/2019
050352,MSPB-1,0.902228,,01/01/2019,12/31/2019
050353,MSPB-1,0.938308,,01/01/2019,12/31/2019
050357,MSPB-1,0.972107,,01/01/2019,12/31/2019
050360,MSPB-1,1.012142,,01/01/2019,12/31/2019
050367,MSPB-1,0.985517,,01/01/2019,12/31/2019
050373,MSPB-1,0.922763,,01/01/2019,12/31/2019
050376,MSPB-1,0.964914,,01/01/2019,12/31/2019
050378,MSPB-1,1.076653,,01/01/2019,12/31/2019
050380,MSPB-1,1.046323,,01/01/2019,12/31/2019
050382,MSPB-1,1.153205,,01/01/2019,12/31/2019
050390,MSPB-1,1.045385,,01/01/2019,12/31/2019
050393,MSPB-1,1.009563,,01/01/2019,12/31/2019
050394,MSPB-1,0.991885,,01/01/2019,12/31/2019
050396,MSPB-1,1.026036,,01/01/2019,12/31/2019
050407,MSPB-1,0.897840,,01/01/2019,12/31/2019
050411,MSPB-1,0.885081,,01/01/2019,12/31/2019
050414,MSPB-1,0.907210,,01/01/2019,12/31/2019
050417,MSPB-1,0.866483,,01/01/2019,12/31/2019
050423,MSPB-1,1.049138,,01/01/2019,12/31/2019
050424,MSPB-1,0.945531,,01/01/2019,12/31/2019
050425,MSPB-1,0.880620,,01/01/2019,12/31/2019
050426,MSPB-1,1.048189,,01/01/2019,12/31/2019
050438,MSPB-1,1.008736,,01/01/2019,12/31/2019
050441,MSPB-1,0.994447,,01/01/2019,12/31/2019
050444,MSPB-1,0.964381,,01/01/2019,12/31/2019
050454,MSPB-1,0.989862,,01/01/2019,12/31/2019
050455,MSPB-1,1.022483,,01/01/2019,12/31/2019
050457,MSPB-1,0.928703,,01/01/2019,12/31/2019
050464,MSPB-1,0.990419,,01/01/2019,12/31/2019
050468,MSPB-1,1.237428,,01/01/2019,12/31/2019
050471,MSPB-1,1.061547,,01/01/2019,12/31/2019
050481,MSPB-1,1.033327,,01/01/2019,12/31/2019
050485,MSPB-1,1.040203,,01/01/2019,12/31/2019
050488,MSPB-1,1.074969,,01/01/2019,12/31/2019
050492,MSPB-1,1.052952,,01/01/2019,12/31/2019
050496,MSPB-1,0.960742,,01/01/2019,12/31/2019
050498,MSPB-1,0.905266,,01/01/2019,12/31/2019
050502,MSPB-1,1.005873,,01/01/2019,12/31/2019
