"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","ASC-19 Better","ASC-19 No Different","ASC-19 Worse","ASC-19 Too Small","Avg ASC-20 State Rate"
NY,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.00
OH,2022,82.10,91.00,96.10,97.93,0,70,1,4,98.74,100.00,0.36,0.26,0,42,0,32,0,15,1,3,0,35,0,75,N/A (5)
OH,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),83.90
OK,2022,91.66,92.50,93.17,93.17,0,20,0,1,96.31,96.40,0.28,0.28,0,9,0,12,0,3,0,6,0,10,0,17,N/A (5)
OK,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),80.30
OR,2022,92.94,93.28,100.00,100.00,0,25,0,4,98.53,99.26,0.19,0.16,0,29,0,20,0,7,0,10,0,21,0,35,N/A (5)
OR,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.80
PA,2022,86.55,91.35,99.70,100.00,0,101,1,1,91.19,99.56,0.27,0.22,0,63,0,35,0,29,0,20,0,78,0,67,N/A (5)
PA,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.90
PR,2022,N/A (5),N/A (5),N/A (5),N/A (5),0,2,0,0,95.47,100.00,1.14,1.27,0,3,0,7,0,2,0,4,0,0,0,8,N/A (5)
PR,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),98.70
RI,2022,90.96,88.59,N/A (5),N/A (5),0,7,0,0,98.47,99.04,0.25,0.27,0,3,0,1,0,1,0,1,0,2,0,3,N/A (5)
RI,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),100.00
SC,2022,91.65,95.53,100.00,100.00,1,28,1,6,87.19,100.00,0.20,0.16,0,23,0,17,0,9,0,9,0,21,0,29,N/A (5)
SC,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.50
SD,2022,84.29,84.40,N/A (5),N/A (5),0,4,0,1,91.74,95.43,0.19,0.13,0,1,0,5,0,1,0,1,0,4,0,6,N/A (5)
SD,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.20
TN,2022,95.14,97.06,100.00,100.00,0,42,0,10,99.60,100.00,0.28,0.20,0,44,0,22,1,11,0,10,0,37,0,48,N/A (5)
TN,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.70
TX,2022,73.44,87.50,97.40,100.00,0,160,1,24,96.73,100.00,0.27,0.19,0,133,0,91,0,39,0,47,0,100,0,155,N/A (5)
TX,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),84.90
UT,2022,93.77,97.92,100.00,100.00,0,14,0,1,99.15,100.00,0.19,0.19,0,24,0,9,0,8,0,7,0,12,0,21,N/A (5)
UT,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.20
VA,2022,81.82,94.03,N/A (5),N/A (5),0,16,0,2,98.69,99.90,0.28,0.22,0,32,0,10,0,15,1,10,0,35,0,11,N/A (5)
VA,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),90.70
VI,2022,100.00,100.00,N/A (5),N/A (5),0,2,0,0,79.90,100.00,1.50,1.69,0,1,0,2,0,0,0,1,0,1,0,2,N/A (5)
VI,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),87.10
VT,2022,100.00,100.00,N/A (5),N/A (5),0,1,0,0,95.96,95.83,0.19,0.19,0,1,0,0,0,0,0,1,0,1,0,1,N/A (5)
VT,2023_Q3,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),98.70
